origin,destination,weight
pri4_libs,pri1_lan_pos,-0.8493408177933304
pri4_libs,pri1_low_chi,-0.6751595780557775
pri4_libs,pri4_parks,0.7333665933434795
pri4_libs,pri8_sat_runs,0.6160560681190985
pri4_libs,pri8_lis_con,0.9326841382649576
pri4_libs,pri4_new_ent,-0.5875623253351223
pri4_libs,pri6_get_on_well,0.6411188743387694
pri4_libs,pri7_recy_rate,0.7070314008400369
pri4_libs,pri5_ncmp_yr6,-0.708597427485007
pri4_libs,pri5_ncmp_rec,-0.9900020100239573
pri4_leisure,pri1_GDHI,0.8326180966278106
pri4_leisure,pri1_low_chi,0.8043341376678732
pri4_leisure,pri2_net_add,0.6477916480206282
pri4_leisure,pri3_good_dev,0.515958292252597
pri4_leisure,pri8_lis_con,-0.5784066709252258
pri4_leisure,pri4_new_ent,0.9684183502477259
pri4_leisure,pri7_co2_emi,0.5487047382545296
pri4_leisure,pri5_ncmp_yr6,0.5460840401025544
pri4_leisure,pri5_ncmp_rec,0.5941067278524323
pri8_sat_runs,pri1_GDHI,0.6460772624998067
pri8_sat_runs,pri1_low_chi,0.8192849386208
pri8_sat_runs,pri2_net_add,0.8384142567657837
pri8_sat_runs,pri3_good_dev,0.7627073471123825
pri8_sat_runs,pri4_new_ent,0.9172672570178008
pri8_sat_runs,pri7_co2_emi,0.6360289518556322
pri8_sat_liv,pri2_net_add,0.5435125760208335
pri8_sat_liv,pri3_good_dev,0.9054729240889521
pri8_sat_liv,pri4_parks,0.8089705339715834
pri8_sat_liv,pri4_libs,-0.7253627721017611
pri8_sat_liv,pri4_leisure,0.6434265859877966
pri8_sat_liv,pri8_sat_runs,0.7163197829619503
pri8_sat_liv,pri7_co2_emi,0.8330124966683708
pri8_sat_liv,pri7_recy_rate,0.7632910121823483
pri8_sat_liv,pri4_bui_surv,-0.5921796700685802
pri8_lis_con,pri1_GDHI,0.5910923133120063
pri8_lis_con,pri1_lan_pos,0.5982096044313937
pri8_lis_con,pri1_low_chi,0.6033884900318478
pri8_lis_con,pri2_net_add,0.9177443550865846
pri8_lis_con,pri3_ofted,-0.5847947736758294
pri8_lis_con,pri3_HE_prog,-0.6551668408827955
pri8_lis_con,pri3_HE_prog_fsm,-0.7074215387541325
pri8_lis_con,pri4_leisure,0.5875756815520411
pri8_lis_con,pri4_new_ent,0.5304503175184161
pri8_lis_con,pri5_ncmp_yr6,0.8504475834655545
pri8_lis_con,pri_4_tot_emp,-0.5165435708524013
pri4_new_ent,pri1_lan_pos,-0.515016144033478
pri4_new_ent,pri3_good_dev,0.6345544702509432
pri4_new_ent,pri3_HE_prog,0.5952985544812236
pri4_new_ent,pri3_HE_prog_fsm,0.6341824553411257
pri4_new_ent,pri7_recy_rate,0.8609095093858851
pri4_new_ent,pri5_ncmp_yr6,-0.8103647102151713
pri4_new_ent,pri5_ncmp_rec,-0.542486869144197
pri6_get_on_well,pri2_net_add,0.8107057231091898
pri6_get_on_well,pri3_good_dev,0.8042710190950142
pri6_get_on_well,pri4_parks,0.749583680234366
pri6_get_on_well,pri4_libs,-0.6146362971528592
pri6_get_on_well,pri4_leisure,0.7471705946604051
pri6_get_on_well,pri8_sat_runs,0.7242615384230036
pri6_get_on_well,pri8_sat_liv,0.6178894159287258
pri6_get_on_well,pri4_new_ent,0.5765955192156706
pri6_get_on_well,pri7_co2_emi,0.8679089750606142
pri7_co2_emi,pri1_low_chi,0.7065171499603703
pri7_co2_emi,pri2_net_add,0.5421334210870904
pri7_co2_emi,pri3_good_dev,0.9393638935176153
pri7_co2_emi,pri4_new_ent,0.7128470724297762
pri7_co2_emi,pri7_recy_rate,0.5002921439937236
pri7_recy_rate,pri2_aff_hom,0.5991966299079369
pri7_recy_rate,pri2_net_add,0.6231847772137186
pri7_recy_rate,pri3_ofted,-0.7173615856919143
pri7_recy_rate,pri3_good_dev,0.8413427759974166
pri7_recy_rate,pri4_parks,0.6966996969677983
pri7_recy_rate,pri4_libs,-0.904183438621929
pri7_recy_rate,pri4_leisure,0.7041274329484547
pri7_recy_rate,pri8_sat_runs,0.5990424822278999
pri7_recy_rate,pri7_co2_emi,0.5367373677264741
pri5_ncmp_yr6,pri2_aff_hom,-0.7814878563494216
pri5_ncmp_yr6,pri2_net_add,-0.5290809963331081
pri5_ncmp_yr6,pri3_ofted,0.6166203966274814
